"RunId","Scenario","Metric","Key","HigherIsBetter","MaxSpreadPct","Separation","DeltaAllOffToAllOnPct","DeltaAppOffToAllOnPct","DeltaRuntimeLayerPct","DeltaAspNetLayerPct","all-off_median","all-off_min","all-off_max","all-off_n","rt-on_median","rt-on_min","rt-on_max","rt-on_n","app-off_median","app-off_min","app-off_max","app-off_n","all-on_median","all-on_min","all-on_max","all-on_n"
"r3-cloud-arm64","mvc","Latency max (ms)","http/latency/max","False","1081.4","21/49","4.465","9.407","9.138","-12.512","19.26","13.8","207.04","7","21.02","11.78","209.28","7","18.39","14.52","213.39","7","20.12","15.12","32.38","7"
"r3-cloud-arm64","mvc","Throughput (MB/s)","http/throughput","True","17.98","48/49","-10.926","2.459","1.425","-14.286","21.05","19.1","22.5","7","21.35","20.19","23.33","7","18.3","16.77","20.06","7","18.75","16.99","19.53","7"
"r3-cloud-arm64","mvc","Bad responses","http/requests/badresponses","False","0","complete 0/49",,,,,"0","0","0","7","0","0","0","7","0","0","0","7","0","0","0","7"
"r3-cloud-arm64","mvc","App CPU (%)","benchmarks/cpu","False","4.17","29/49","-1.042","-1.042","2.083","-2.041","96","94","98","7","98","96","98","7","96","94","97","7","95","95","97","7"
"r3-cloud-arm64","mvc","Working set (MB)","benchmarks/working-set","False","16.8","15/49","8.8","-0.73","-2.4","12.295","125","117","138","7","122","118","126","7","137","122","141","7","136","122","143","7"
"r3-cloud-arm64","mvc","Private memory (MB)","benchmarks/private-memory","False","18.7","24/49","0.383","0.769","-7.28","7.438","261","251","291","7","242","238","275","7","260","251","278","7","262","242","291","7"
"r3-cloud-arm64","mvc","Start time (ms)","benchmarks/start-time","False","7.87","27/49","0.993","-0.327","2.649","-1.29","302","297","320","7","310","304","328","7","306","291","315","7","305","291","315","7"
"r3-cloud-arm64","mvc","Published size (KB)","benchmarks/published-size","False","0","complete 49/49","-0.022","-0.022","0","0","144025","144025","144025","7","144025","144025","144025","7","144025","144025","144025","7","143994","143994","143994","7"
"r3-cloud-arm64","orchard","Requests/sec","http/rps/mean","True","8.29","n/a",,"8.388",,,,,,"0",,,,"0","3089.38910452988","3040.198476524906","3222.0280872879666","7","3348.53357662432","3253.4552788619308","3530.9538123377547","7"
"r3-cloud-arm64","orchard","Mean latency (ms)","http/latency/mean","False","8.11","n/a",,"-7.743",,,,,,"0",,,,"0","10.353742373247","9.927185622672734","10.520891280994453","7","9.55202501841053","9.058669416495196","9.833064444080161","7"
"r3-cloud-arm64","orchard","Latency p50 (ms)","http/latency/50","False","11","n/a",,"-7.808",,,,,,"0",,,,"0","7.915","7.484","8.355","7","7.297","6.983","7.599","7"
"r3-cloud-arm64","orchard","Latency p99 (ms)","http/latency/99","False","16.38","n/a",,"-8.804",,,,,,"0",,,,"0","41.756","39.295","44.673","7","38.08","35.585","41.824","7"
"r3-cloud-arm64","orchard","Latency max (ms)","http/latency/max","False","39.47","n/a",,"-11.803",,,,,,"0",,,,"0","106.759","89.678","128.898","7","94.158","80.16","117.327","7"
"r3-cloud-arm64","orchard","Throughput (MB/s)","http/throughput","True","8.27","n/a",,"8.384",,,,,,"0",,,,"0","17.6851999225206","17.40447322869339","18.45180146508938","7","19.1679665906077","18.63370615234758","20.21938435783712","7"
"r3-cloud-arm64","orchard","Bad responses","http/requests/badresponses","False","0","n/a",,,,,,,,"0",,,,"0","0","0","0","7","0","0","0","7"
"r3-cloud-arm64","orchard","App CPU (%)","benchmarks/cpu","False","1.02","n/a",,"1.02",,,,,,"0",,,,"0","98","98","99","7","99","98","99","7"
"r3-cloud-arm64","orchard","Working set (MB)","benchmarks/working-set","False","11.97","n/a",,"0.67",,,,,,"0",,,,"0","448","414","460","7","451","412","466","7"
"r3-cloud-arm64","orchard","Private memory (MB)","benchmarks/private-memory","False","24.53","n/a",,"0.419",,,,,,"0",,,,"0","477","436","553","7","479","431","507","7"
"r3-cloud-arm64","orchard","Start time (ms)","benchmarks/start-time","False","20.44","n/a",,"-2.637",,,,,,"0",,,,"0","455","428","521","7","443","433","487","7"
"r3-cloud-arm64","orchard","Published size (KB)","benchmarks/published-size","False","0","n/a",,"-1.214",,,,,,"0",,,,"0","596489","596487","596489","7","589247","589246","589248","7"
"r3-cloud-arm64","plaintext","Requests/sec","http/rps/mean","True","6.7","complete 49/49","-13.081","0.887","-2.65","-11.5","1579251.58","1523409.99","1629253.46","7","1537394.33","1483272.59","1580676.07","7","1360593.18","1336939.03","1384727.86","7","1372666.16","1335691","1396150.9","7"
"r3-cloud-arm64","plaintext","Mean latency (ms)","http/latency/mean","False","10.92","complete 0/49","13.725","-1.136","2.614","12.102","1.53","1.47","1.57","7","1.57","1.52","1.64","7","1.76","1.73","1.8","7","1.74","1.71","1.9","7"
"r3-cloud-arm64","plaintext","Latency p50 (ms)","http/latency/50","False","7.09","complete 0/49","15.603","-1.212","2.837","13.793","1.41","1.36","1.46","7","1.45","1.41","1.5","7","1.65","1.61","1.69","7","1.63","1.6","1.68","7"
"r3-cloud-arm64","plaintext","Latency p99 (ms)","http/latency/99","False","250.2","9/49","14.153","-6.107","4.176","16.704","4.31","4.08","4.8","7","4.49","4.25","4.88","7","5.24","0","6.93","7","4.92","0","12.31","7"
"r3-cloud-arm64","plaintext","Latency max (ms)","http/latency/max","False","1203.57","27/49","0.05","0.649","20.06","-17.204","20.14","16.43","258.83","7","24.18","15.92","208.18","7","20.02","17.43","211.3","7","20.15","15.99","256.94","7"
"r3-cloud-arm64","plaintext","Throughput (MB/s)","http/throughput","True","6.71","complete 49/49","-13.078","0.887","-2.651","-11.497","198.8","191.77","205.1","7","193.53","186.72","198.98","7","171.28","168.3","174.32","7","172.8","168.14","175.75","7"
"r3-cloud-arm64","plaintext","Bad responses","http/requests/badresponses","False","0","complete 0/49",,,,,"0","0","0","7","0","0","0","7","0","0","0","7","0","0","0","7"
"r3-cloud-arm64","plaintext","App CPU (%)","benchmarks/cpu","False","2.04","17/49","0","0","0","0","98","98","99","7","98","98","99","7","98","98","99","7","98","97","99","7"
"r3-cloud-arm64","plaintext","Working set (MB)","benchmarks/working-set","False","3.57","42/49","-2.326","0","-1.163","-1.176","86","86","87","7","85","85","86","7","84","84","85","7","84","84","87","7"
"r3-cloud-arm64","plaintext","Private memory (MB)","benchmarks/private-memory","False","16.67","30/49","3.261","-0.524","4.348","-0.521","184","184","192","7","192","184","216","7","191","182","191","7","190","182","209","7"
"r3-cloud-arm64","plaintext","Start time (ms)","benchmarks/start-time","False","12.18","37/49","-3.084","-1.786","4.846","-5.882","227","220","236","7","238","218","247","7","224","213","232","7","220","216","232","7"
"r3-cloud-arm64","plaintext","Published size (KB)","benchmarks/published-size","False","0","complete 49/49","-0.022","-0.022","0","0","144025","144025","144025","7","144025","144025","144025","7","144025","144025","144025","7","143994","143994","143994","7"
