"Overlay","File","SizeBytes","Sha256"
"r3-x64-off","Microsoft.Extensions.Caching.Abstractions.dll","33280","02025A7EDCA9A2CB64AA91230391D70E58391276C6C8EE4775BD8E16DE14F26D"
"r3-x64-off","Microsoft.Extensions.Caching.Abstractions.xml","90809","20FE0F821F2DB08D353F669E172EBE4D3C7075422CC06D7C4C83C5592B35CE8A"
"r3-x64-off","Microsoft.Extensions.Caching.Memory.dll","98816","8635E3E276156F5B435DEBF88207994BD111DEBBEE6E064C7E0A95D293D3EBF0"
"r3-x64-off","Microsoft.Extensions.Configuration.Abstractions.dll","16896","DAD96A61D95F3A41BBA2CB3278057A778B0AEDF85F429E15138F0A3B1B1936DB"
"r3-x64-off","Microsoft.Extensions.Configuration.Abstractions.xml","20253","9AD60D91D34A8E347306843DD1A4AB74CEAFF7682500DE1A9EF327F16A7B9930"
"r3-x64-off","Microsoft.Extensions.Configuration.Binder.dll","66560","861E5A1A5749D3762933859F41AA0E4AF95C63EDEDAF71C2681067D4F02D2DDA"
"r3-x64-off","Microsoft.Extensions.Configuration.CommandLine.dll","25600","35225AA7CB6A812A54E3713ABEE0448889EF9B66ED1B52B3B74C477631569080"
"r3-x64-off","Microsoft.Extensions.Configuration.dll","74240","9D0E0FA2CD340B30B77E0CA0171A3BB92B3B90C126FDE57BFC9835687D5FA47F"
"r3-x64-off","Microsoft.Extensions.Configuration.EnvironmentVariables.dll","31744","3058D52585900221731CFDA4702D76033FCE42970F768A21058371CAE491C9AA"
"r3-x64-off","Microsoft.Extensions.Configuration.FileExtensions.dll","33792","1283177F3AA13F79F0E1CC84171FC6DF5412A70F1CB6AF833D8CB16375BB353D"
"r3-x64-off","Microsoft.Extensions.Configuration.Ini.dll","25088","45087E3DD448F7863F93C423DB360D30147650D411239F323000A983A9775FC7"
"r3-x64-off","Microsoft.Extensions.Configuration.Json.dll","31232","417ED1F364F20CD78309E15F671180AB2722878299A99AAABB3C7FBF8633BB80"
"r3-x64-off","Microsoft.Extensions.Configuration.KeyPerFile.dll","18944","BCCA0A62B85D595C57BD386F90EB18EAE30C3A7FFDA1BBB1C957450FB500CBF8"
"r3-x64-off","Microsoft.Extensions.Configuration.UserSecrets.dll","26624","6368778CC95387AC4ADA621EC02188DE6899C1BF30CDC92B69FA1EFE48C35DBF"
"r3-x64-off","Microsoft.Extensions.Configuration.Xml.dll","46592","71520A04C2D666C1DDE7BC3C5742FF314995F51B0856A41D050EC5EB1E0629F4"
"r3-x64-off","Microsoft.Extensions.DependencyInjection.Abstractions.dll","57344","8FCFA4B11B35CB1820E743A671C6B010FF9DB3A3F81F93F40F49F47FDF14F397"
